"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2","0.139092000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa46f73c"
"3","2.600443000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","2.689503000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"5","2.718523000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xb1538315"
"6","3.150559000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa46f73c"
"7","6.171666000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa46f73c"
"8","8.592722000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xb1538315"
"9","11.609713000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xb1538315"
"10","1194.513585000","LogicMod_ae:fe:00","Broadcast","ARP","60","Who has 192.168.0.1?  Tell 192.168.0.2"
"11","1194.538286000","LogicMod_14:d9:00","LogicMod_ae:fe:00","ARP","60","192.168.0.1 is at 00:00:ab:14:d9:00"
"12","1194.549294000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"13","1194.550294000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"14","1194.550294000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"15","1194.551295000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"16","1194.552296000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"17","1194.552296000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"18","1194.553296000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"19","1194.553296000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"20","1194.559301000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"21","1194.559301000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"22","1194.559301000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"23","1194.559301000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"24","1194.559301000","192.168.0.2","192.168.0.1","UDP","60","Source port: 55106  Destination port: 10223"
"25","1194.575168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"26","1194.576168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"27","1194.576168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"28","1194.576168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"29","1194.576168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"30","1194.577168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"31","1194.577168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"32","1194.577168000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"33","1194.578169000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"34","1194.578169000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"35","1194.578169000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"36","1194.578169000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"37","1194.578169000","192.168.0.1","192.168.0.2","UDP","60","Source port: 10223  Destination port: 55106"
"38","1199.581668000","LogicMod_14:d9:00","LogicMod_ae:fe:00","ARP","60","Who has 192.168.0.2?  Tell 192.168.0.1"
"39","1199.590676000","LogicMod_ae:fe:00","LogicMod_14:d9:00","ARP","60","192.168.0.2 is at 00:00:ab:ae:fe:00"
