1447114462.808294 arp who-has 192.168.12.1 tell 192.168.12.2
1447114462.885039 arp reply 192.168.12.1 is-at 00:00:ab:28:04:01
1447114463.060747 IP (tos 0x0, ttl  64, id 47217, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.069753 IP (tos 0x0, ttl  64, id 47218, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.112782 IP (tos 0x0, ttl  64, id 47219, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.118786 IP (tos 0x0, ttl  64, id 47220, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.123788 IP (tos 0x0, ttl  64, id 47221, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.129793 IP (tos 0x0, ttl  64, id 47222, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.160813 IP (tos 0x0, ttl  64, id 47223, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.161814 IP (tos 0x0, ttl  64, id 47224, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.164816 IP (tos 0x0, ttl  64, id 47225, offset 0, flags [DF], proto: UDP (17), length: 36) 192.168.12.2.58563 > 192.168.2.2.10223: UDP, length 8
1447114463.350941 IP (tos 0x0, ttl  62, id 61682, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.351942 IP (tos 0x0, ttl  62, id 61683, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.351942 IP (tos 0x0, ttl  62, id 61684, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.351942 IP (tos 0x0, ttl  62, id 61685, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.352943 IP (tos 0x0, ttl  62, id 61686, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.352943 IP (tos 0x0, ttl  62, id 61687, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.352943 IP (tos 0x0, ttl  62, id 61688, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.353942 IP (tos 0x0, ttl  62, id 61689, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114463.353942 IP (tos 0x0, ttl  62, id 61690, offset 0, flags [DF], proto: UDP (17), length: 40) 192.168.2.2.10223 > 192.168.12.2.58563: UDP, length 12
1447114468.376063 arp who-has 192.168.12.2 tell 192.168.12.1
1447114468.401011 arp reply 192.168.12.2 is-at 00:00:ab:87:a3:00
